teacher_id,school_id,assigned_date,is_current,assigned_at
T004,KD1928,2025-11-11 19:07:18,False,
T005,KD2866,2025-11-11 19:07:18,False,
T007,KD1192,2025-11-11 19:07:18,False,
T010,KD1928,2025-11-11 19:07:18,False,
T013,KD1192,2025-11-11 19:07:18,False,
T014,KD2384,2025-11-11 19:07:18,False,
T004,KD1928,2025-11-12 19:57:58,False,
T005,KD2866,2025-11-12 19:57:58,False,
T007,KD1192,2025-11-12 19:57:58,False,
T010,KD1928,2025-11-12 19:57:58,False,
T013,KD1192,2025-11-12 19:57:58,False,
T014,KD2384,2025-11-12 19:57:58,False,
T015,KD1324,,,2025-11-13 12:02:46.253273
T016,KD3138,,,2025-11-13 12:02:46.281279
T019,KD2760,,,2025-11-13 12:02:46.324288
T004,KD1928,2025-11-13 12:02:46,False,
T005,KD2866,2025-11-13 12:02:46,False,
T007,KD1192,2025-11-13 12:02:46,False,
T010,KD1928,2025-11-13 12:02:46,False,
T013,KD1192,2025-11-13 12:02:46,False,
T014,KD2384,2025-11-13 12:02:46,False,
T001,KD1324,2025-11-13 18:19:35,True,
T004,KD1928,2025-11-13 18:19:35,True,
T005,KD2866,2025-11-13 18:19:35,True,
T007,KD1192,2025-11-13 18:19:35,True,
T010,KD1928,2025-11-13 18:19:35,True,
T013,KD1192,2025-11-13 18:19:35,True,
T014,KD2384,2025-11-13 18:19:35,True,
