id,english,japanese,line,source_url,latitude,longitude,address
f1487174-f065-446c-845b-4b0428e6b57e,Abiko,我孫子駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.8641008,140.0282205,"Abiko, Chiba, Japan"
d20d08d8-7bd3-4541-a390-35db1753f305,Ageo,上尾駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.6812996,139.7670658,"Tokyo Station, 1-chōme-9 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan"
fd1ce5a1-ff97-4548-a7e1-651b8f6972db,Aihara,相原駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.6069027,139.3316669,"Aihara Station, 1158 相原町 町田市 東京都 194-0211, Japan"
af81e672-ea41-4a77-a9b9-4633af7e3014,Aikō-Ishida,愛甲石田駅,Odakyu Odawara Line,https://en.wikipedia.org/wiki/Odakyu_Odawara_Line,35.4743593,139.3997966,"Odakyu Odawara Line, Japan"
52b1ed83-69e1-4230-b563-8dbbbdf08f07,Ajiki,安食駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.8412351,140.2365065,"Ajiki, Sakae, Inba District, Chiba 270-1516, Japan"
b08a5db0-09d3-4675-b43c-a3cabf08442c,Ajiro,網代駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.6812996,139.7670658,"Tokyo Station, 1-chōme-9 Marunouchi, Chiyoda City, Tokyo 100-0005, Japan"
3dc8aa47-37f2-4394-8ae1-fd9c8f7793d4,Akabane,赤羽駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.7777451,139.7210653,"Akabane Station, 1-chōme-1 Akabane, Kita City, Tokyo 115-0045, Japan"
dfd68477-06ff-40c3-a133-1d73fb201723,Akabane-Iwabuchi,赤羽岩淵駅,Namboku Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Namboku_Line,35.783504,139.721821,"Akabane-Iwabuchi Station, 34, Kita City, Tokyo, Japan"
e09797ee-b587-4f08-aec4-c23d9b0a34af,Akabanebashi,赤羽橋駅,Ōedo Line,https://en.wikipedia.org/wiki/Toei_%C5%8Cedo_Line,35.6549848,139.7440021,"Akabanebashi Station, 1-chōme-28-13 Higashiazabu, Minato City, Tokyo 106-0044, Japan"
2b23a7a8-bc41-44aa-b25f-c12c6c41aa0b,Akasaka,赤坂駅,Chiyoda Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Chiyoda_Line,35.6722117,139.73638,"Akasaka Station, 5-chōme-4-5 Akasaka, Minato City, Tokyo 107-0052, Japan"
e5bc85ac-b606-4273-af24-99dbf6602294,Akasaka-mitsuke,赤坂見附駅,Ginza Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Ginza_Line,35.677067,139.7373586,"Akasaka-Mitsuke Station, Tokyo, Japan"
15df368b-d351-4747-ba48-578a0d13d249,Akatsuka,赤塚駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,36.3852056,140.4140222,"Akatsuka, Mito, Ibaraki 311-4141, Japan"
481de5ac-8a6c-4a70-bc68-a2218b1051e2,Akebonobashi,曙橋駅,Shinjuku Line,https://en.wikipedia.org/wiki/Toei_Shinjuku_Line,35.6923758,139.7226303,"Akebonobashi Station, 7 Sumiyoshichō, Shinjuku City, Tokyo 162-0065, Japan"
5d9bb82c-e809-4d53-8cac-624cebd8fdcd,Akigawa,秋川駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.728084,139.2866522,"Akigawa Station, Aburadai, Akiruno, Tokyo 197-0827, Japan"
6637a7e6-2932-4bbf-a5ab-e03a3d1c391f,Akihabara,秋葉原駅,Hibiya Line,https://en.wikipedia.org/wiki/Tokyo_Metro_Hibiya_Line,35.698383,139.7730717,"Akihabara Station, 1-chōme Sotokanda, Chiyoda City, Tokyo 101-0028, Japan"
ef8547e6-7017-4262-997e-e8a539506ed5,Akishima,昭島駅,JR East,https://en.wikipedia.org/wiki/List_of_East_Japan_Railway_Company_stations,35.7135485,139.3609268,"Akishima Station, 2-chōme-1-10 Tanakachō, Akishima, Tokyo 196-0014, Japan"
759f9fad-bec1-4c14-9b62-4332a39012f3,Akitsu,秋津駅,Seibu Ikebukuro Line,https://en.wikipedia.org/wiki/Seibu_Ikebukuro_Line,35.77843490000001,139.4967816,"Akitsu Station, 5-chōme Akitsuchō, Higashimurayama, Tokyo 189-0001, Japan"
